start,end,length_hours
2013-08-15 09:00:00+00:00,2013-08-15 10:00:00+00:00,1.0
2013-08-16 00:00:00+00:00,2013-08-16 01:00:00+00:00,1.0
2013-08-16 15:00:00+00:00,2013-08-16 16:00:00+00:00,1.0
2013-08-17 03:00:00+00:00,2013-08-17 04:00:00+00:00,1.0
2013-08-18 23:00:00+00:00,2013-08-19 00:00:00+00:00,1.0
2013-08-19 05:00:00+00:00,2013-08-19 06:00:00+00:00,1.0
2013-08-19 14:00:00+00:00,2013-08-19 15:00:00+00:00,1.0
2013-08-20 02:00:00+00:00,2013-08-20 03:00:00+00:00,1.0
2013-08-21 15:00:00+00:00,2013-08-21 16:00:00+00:00,1.0
2013-08-24 22:00:00+00:00,2013-08-24 23:00:00+00:00,1.0
2013-08-25 04:00:00+00:00,2013-08-25 05:00:00+00:00,1.0
2013-08-25 17:00:00+00:00,2013-08-25 18:00:00+00:00,1.0
2013-08-27 09:00:00+00:00,2013-08-27 10:00:00+00:00,1.0
2013-08-27 13:00:00+00:00,2013-08-27 14:00:00+00:00,1.0
2013-08-28 02:00:00+00:00,2013-08-28 03:00:00+00:00,1.0
2013-08-29 13:00:00+00:00,2013-08-29 14:00:00+00:00,1.0
2013-09-01 06:00:00+00:00,2013-09-01 07:00:00+00:00,1.0
2013-09-02 08:00:00+00:00,2013-09-02 09:00:00+00:00,1.0
2013-09-02 15:00:00+00:00,2013-09-02 16:00:00+00:00,1.0
2013-09-02 21:00:00+00:00,2013-09-02 22:00:00+00:00,1.0
2013-09-03 03:00:00+00:00,2013-09-03 04:00:00+00:00,1.0
2013-09-03 07:00:00+00:00,2013-09-03 08:00:00+00:00,1.0
2013-09-03 09:00:00+00:00,2013-09-03 10:00:00+00:00,1.0
2013-09-03 21:00:00+00:00,2013-09-03 22:00:00+00:00,1.0
2013-09-06 06:00:00+00:00,2013-09-06 07:00:00+00:00,1.0
2013-09-06 13:00:00+00:00,2013-09-06 14:00:00+00:00,1.0
2013-09-07 06:00:00+00:00,2013-09-07 07:00:00+00:00,1.0
2013-09-07 10:00:00+00:00,2013-09-07 11:00:00+00:00,1.0
2013-09-07 23:00:00+00:00,2013-09-08 00:00:00+00:00,1.0
2013-09-09 19:00:00+00:00,2013-09-09 20:00:00+00:00,1.0
2013-09-10 04:00:00+00:00,2013-09-10 05:00:00+00:00,1.0
2013-09-11 16:00:00+00:00,2013-09-11 18:00:00+00:00,2.0
2013-09-17 18:00:00+00:00,2013-09-17 20:00:00+00:00,2.0
2013-09-18 15:00:00+00:00,2013-09-18 16:00:00+00:00,1.0
2013-09-18 22:00:00+00:00,2013-09-18 23:00:00+00:00,1.0
2013-09-20 09:00:00+00:00,2013-09-20 10:00:00+00:00,1.0
2013-09-20 16:00:00+00:00,2013-09-20 17:00:00+00:00,1.0
2013-09-21 19:00:00+00:00,2013-09-21 20:00:00+00:00,1.0
2013-09-23 04:00:00+00:00,2013-09-23 05:00:00+00:00,1.0
2013-09-24 15:00:00+00:00,2013-09-24 16:00:00+00:00,1.0
2013-09-25 02:00:00+00:00,2013-09-25 03:00:00+00:00,1.0
2013-09-26 20:00:00+00:00,2013-09-26 21:00:00+00:00,1.0
2013-09-27 01:00:00+00:00,2013-09-27 03:00:00+00:00,2.0
2013-09-28 06:00:00+00:00,2013-09-28 07:00:00+00:00,1.0
2013-09-29 23:00:00+00:00,2013-09-30 00:00:00+00:00,1.0
2013-09-30 01:00:00+00:00,2013-09-30 02:00:00+00:00,1.0
2013-09-30 21:00:00+00:00,2013-09-30 23:00:00+00:00,2.0
2013-10-03 20:00:00+00:00,2013-10-03 21:00:00+00:00,1.0
2013-10-06 00:00:00+00:00,2013-10-06 01:00:00+00:00,1.0
2013-10-07 03:00:00+00:00,2013-10-07 05:00:00+00:00,2.0
2013-10-08 04:00:00+00:00,2013-10-08 05:00:00+00:00,1.0
2013-10-08 06:00:00+00:00,2013-10-08 07:00:00+00:00,1.0
2013-10-09 16:00:00+00:00,2013-10-09 17:00:00+00:00,1.0
2013-10-11 06:00:00+00:00,2013-10-11 07:00:00+00:00,1.0
2013-10-11 18:00:00+00:00,2013-10-11 19:00:00+00:00,1.0
2013-10-12 12:00:00+00:00,2013-10-12 13:00:00+00:00,1.0
2013-10-14 18:00:00+00:00,2013-10-14 19:00:00+00:00,1.0
2013-10-14 20:00:00+00:00,2013-10-14 21:00:00+00:00,1.0
2013-10-15 05:00:00+00:00,2013-10-15 06:00:00+00:00,1.0
2013-10-16 04:00:00+00:00,2013-10-16 05:00:00+00:00,1.0
2013-10-16 18:00:00+00:00,2013-10-16 20:00:00+00:00,2.0
2013-10-16 22:00:00+00:00,2013-10-16 23:00:00+00:00,1.0
2013-10-20 06:00:00+00:00,2013-10-20 07:00:00+00:00,1.0
2013-10-21 17:00:00+00:00,2013-10-21 19:00:00+00:00,2.0
2013-10-22 07:00:00+00:00,2013-10-22 08:00:00+00:00,1.0
2013-10-22 10:00:00+00:00,2013-10-22 11:00:00+00:00,1.0
2013-10-23 04:00:00+00:00,2013-10-23 05:00:00+00:00,1.0
2013-10-23 23:00:00+00:00,2013-10-24 01:00:00+00:00,2.0
2013-10-24 08:00:00+00:00,2013-10-24 09:00:00+00:00,1.0
2013-10-25 08:00:00+00:00,2013-10-25 09:00:00+00:00,1.0
2013-10-25 12:00:00+00:00,2013-10-25 13:00:00+00:00,1.0
2013-10-26 07:00:00+00:00,2013-10-26 08:00:00+00:00,1.0
2013-10-28 04:00:00+00:00,2013-10-28 05:00:00+00:00,1.0
2013-10-28 23:00:00+00:00,2013-10-29 01:00:00+00:00,2.0
2013-11-02 01:00:00+00:00,2013-11-02 02:00:00+00:00,1.0
2013-11-03 02:00:00+00:00,2013-11-03 03:00:00+00:00,1.0
2013-11-05 10:00:00+00:00,2013-11-05 11:00:00+00:00,1.0
2013-11-05 23:00:00+00:00,2013-11-06 00:00:00+00:00,1.0
2013-11-06 03:00:00+00:00,2013-11-06 04:00:00+00:00,1.0
2013-11-08 08:00:00+00:00,2013-11-08 09:00:00+00:00,1.0
2013-11-10 07:00:00+00:00,2013-11-10 08:00:00+00:00,1.0
2013-11-10 10:00:00+00:00,2013-11-10 11:00:00+00:00,1.0
2013-11-12 18:00:00+00:00,2013-11-12 19:00:00+00:00,1.0
2013-11-13 09:00:00+00:00,2013-11-13 10:00:00+00:00,1.0
2013-11-14 23:00:00+00:00,2013-11-15 00:00:00+00:00,1.0
2013-11-15 13:00:00+00:00,2013-11-15 14:00:00+00:00,1.0
2013-11-18 01:00:00+00:00,2013-11-18 02:00:00+00:00,1.0
2013-11-18 23:00:00+00:00,2013-11-19 00:00:00+00:00,1.0
2013-11-21 10:00:00+00:00,2013-11-21 11:00:00+00:00,1.0
2013-11-21 17:00:00+00:00,2013-11-21 18:00:00+00:00,1.0
2013-11-22 07:00:00+00:00,2013-11-22 08:00:00+00:00,1.0
2013-11-23 14:00:00+00:00,2013-11-23 15:00:00+00:00,1.0
2013-11-23 16:00:00+00:00,2013-11-23 17:00:00+00:00,1.0
2013-11-25 10:00:00+00:00,2013-11-25 12:00:00+00:00,2.0
2013-11-28 05:00:00+00:00,2013-11-28 06:00:00+00:00,1.0
2013-11-29 10:00:00+00:00,2013-11-29 11:00:00+00:00,1.0
2013-11-30 16:00:00+00:00,2013-11-30 17:00:00+00:00,1.0
2013-12-01 14:00:00+00:00,2013-12-01 15:00:00+00:00,1.0
2013-12-01 21:00:00+00:00,2013-12-01 22:00:00+00:00,1.0
2013-12-03 06:00:00+00:00,2013-12-03 07:00:00+00:00,1.0
2013-12-03 13:00:00+00:00,2013-12-03 14:00:00+00:00,1.0
2013-12-04 08:00:00+00:00,2013-12-04 09:00:00+00:00,1.0
2013-12-05 08:00:00+00:00,2013-12-05 09:00:00+00:00,1.0
2013-12-05 11:00:00+00:00,2013-12-05 12:00:00+00:00,1.0
2013-12-06 02:00:00+00:00,2013-12-06 03:00:00+00:00,1.0
2013-12-07 19:00:00+00:00,2013-12-07 20:00:00+00:00,1.0
2013-12-08 23:00:00+00:00,2013-12-09 00:00:00+00:00,1.0
2013-12-09 04:00:00+00:00,2013-12-09 05:00:00+00:00,1.0
2013-12-10 17:00:00+00:00,2013-12-10 18:00:00+00:00,1.0
2013-12-10 23:00:00+00:00,2013-12-11 00:00:00+00:00,1.0
2013-12-11 18:00:00+00:00,2013-12-11 19:00:00+00:00,1.0
2013-12-12 05:00:00+00:00,2013-12-12 06:00:00+00:00,1.0
2013-12-13 09:00:00+00:00,2013-12-13 10:00:00+00:00,1.0
2013-12-14 07:00:00+00:00,2013-12-14 08:00:00+00:00,1.0
2013-12-15 19:00:00+00:00,2013-12-15 21:00:00+00:00,2.0
2013-12-16 15:00:00+00:00,2013-12-16 16:00:00+00:00,1.0
2013-12-16 22:00:00+00:00,2013-12-16 23:00:00+00:00,1.0
2013-12-17 17:00:00+00:00,2013-12-17 18:00:00+00:00,1.0
2013-12-18 19:00:00+00:00,2013-12-18 20:00:00+00:00,1.0
2013-12-19 01:00:00+00:00,2013-12-19 02:00:00+00:00,1.0
2013-12-19 23:00:00+00:00,2013-12-20 00:00:00+00:00,1.0
2013-12-20 10:00:00+00:00,2013-12-20 11:00:00+00:00,1.0
2013-12-20 14:00:00+00:00,2013-12-20 15:00:00+00:00,1.0
2013-12-21 06:00:00+00:00,2013-12-21 07:00:00+00:00,1.0
2013-12-22 10:00:00+00:00,2013-12-22 11:00:00+00:00,1.0
2013-12-23 10:00:00+00:00,2013-12-23 12:00:00+00:00,2.0
2013-12-23 22:00:00+00:00,2013-12-23 23:00:00+00:00,1.0
2013-12-24 17:00:00+00:00,2013-12-24 18:00:00+00:00,1.0
2013-12-24 23:00:00+00:00,2013-12-25 00:00:00+00:00,1.0
2013-12-25 06:00:00+00:00,2013-12-25 07:00:00+00:00,1.0
2013-12-25 20:00:00+00:00,2013-12-25 21:00:00+00:00,1.0
2013-12-26 01:00:00+00:00,2013-12-26 02:00:00+00:00,1.0
2013-12-26 17:00:00+00:00,2013-12-26 18:00:00+00:00,1.0
2013-12-28 10:00:00+00:00,2013-12-28 11:00:00+00:00,1.0
2013-12-28 14:00:00+00:00,2013-12-28 15:00:00+00:00,1.0
2013-12-28 22:00:00+00:00,2013-12-28 23:00:00+00:00,1.0
2013-12-29 02:00:00+00:00,2013-12-29 03:00:00+00:00,1.0
2013-12-31 08:00:00+00:00,2013-12-31 09:00:00+00:00,1.0
2013-12-31 18:00:00+00:00,2013-12-31 19:00:00+00:00,1.0
2014-01-01 23:00:00+00:00,2014-01-02 00:00:00+00:00,1.0
2014-01-02 10:00:00+00:00,2014-01-02 11:00:00+00:00,1.0
2014-01-07 22:00:00+00:00,2014-01-07 23:00:00+00:00,1.0
2014-01-08 04:00:00+00:00,2014-01-08 05:00:00+00:00,1.0
2014-01-09 07:00:00+00:00,2014-01-09 08:00:00+00:00,1.0
2014-01-09 21:00:00+00:00,2014-01-09 22:00:00+00:00,1.0
2014-01-11 13:00:00+00:00,2014-01-11 14:00:00+00:00,1.0
2014-01-12 02:00:00+00:00,2014-01-12 03:00:00+00:00,1.0
2014-01-13 14:00:00+00:00,2014-01-13 15:00:00+00:00,1.0
2014-01-14 01:00:00+00:00,2014-01-14 03:00:00+00:00,2.0
2014-01-14 14:00:00+00:00,2014-01-14 15:00:00+00:00,1.0
2014-01-16 01:00:00+00:00,2014-01-16 02:00:00+00:00,1.0
2014-01-16 12:00:00+00:00,2014-01-16 13:00:00+00:00,1.0
2014-01-17 08:00:00+00:00,2014-01-17 09:00:00+00:00,1.0
2014-01-17 19:00:00+00:00,2014-01-17 21:00:00+00:00,2.0
2014-01-21 05:00:00+00:00,2014-01-21 06:00:00+00:00,1.0
2014-01-22 20:00:00+00:00,2014-01-22 21:00:00+00:00,1.0
2014-01-23 05:00:00+00:00,2014-01-23 06:00:00+00:00,1.0
2014-01-23 11:00:00+00:00,2014-01-23 12:00:00+00:00,1.0
2014-01-24 13:00:00+00:00,2014-01-24 14:00:00+00:00,1.0
2014-01-24 16:00:00+00:00,2014-01-24 17:00:00+00:00,1.0
2014-01-24 21:00:00+00:00,2014-01-24 22:00:00+00:00,1.0
2014-01-25 00:00:00+00:00,2014-01-25 01:00:00+00:00,1.0
2014-01-26 23:00:00+00:00,2014-01-27 00:00:00+00:00,1.0
2014-01-28 20:00:00+00:00,2014-01-28 22:00:00+00:00,2.0
2014-01-29 22:00:00+00:00,2014-01-29 23:00:00+00:00,1.0
2014-01-30 07:00:00+00:00,2014-01-30 08:00:00+00:00,1.0
2014-01-31 17:00:00+00:00,2014-01-31 18:00:00+00:00,1.0
2014-02-01 06:00:00+00:00,2014-02-01 07:00:00+00:00,1.0
2014-02-01 14:00:00+00:00,2014-02-01 15:00:00+00:00,1.0
2014-02-02 14:00:00+00:00,2014-02-02 15:00:00+00:00,1.0
2014-02-02 21:00:00+00:00,2014-02-02 22:00:00+00:00,1.0
2014-02-03 06:00:00+00:00,2014-02-03 08:00:00+00:00,2.0
2014-02-04 00:00:00+00:00,2014-02-04 01:00:00+00:00,1.0
2014-02-05 00:00:00+00:00,2014-02-05 01:00:00+00:00,1.0
2014-02-05 05:00:00+00:00,2014-02-05 06:00:00+00:00,1.0
2014-02-05 21:00:00+00:00,2014-02-05 22:00:00+00:00,1.0
2014-02-06 07:00:00+00:00,2014-02-06 08:00:00+00:00,1.0
2014-02-07 03:00:00+00:00,2014-02-07 04:00:00+00:00,1.0
2014-02-07 07:00:00+00:00,2014-02-07 08:00:00+00:00,1.0
2014-02-08 02:00:00+00:00,2014-02-08 03:00:00+00:00,1.0
2014-02-08 06:00:00+00:00,2014-02-08 07:00:00+00:00,1.0
2014-02-09 07:00:00+00:00,2014-02-09 08:00:00+00:00,1.0
2014-02-09 20:00:00+00:00,2014-02-09 21:00:00+00:00,1.0
2014-02-10 00:00:00+00:00,2014-02-10 01:00:00+00:00,1.0
2014-02-10 09:00:00+00:00,2014-02-10 10:00:00+00:00,1.0
2014-02-13 14:00:00+00:00,2014-02-13 15:00:00+00:00,1.0
2014-02-13 21:00:00+00:00,2014-02-13 22:00:00+00:00,1.0
2014-02-14 19:00:00+00:00,2014-02-14 20:00:00+00:00,1.0
2014-02-15 04:00:00+00:00,2014-02-15 05:00:00+00:00,1.0
2014-02-15 14:00:00+00:00,2014-02-15 15:00:00+00:00,1.0
2014-02-15 18:00:00+00:00,2014-02-15 19:00:00+00:00,1.0
2014-02-16 04:00:00+00:00,2014-02-16 05:00:00+00:00,1.0
2014-02-16 06:00:00+00:00,2014-02-16 07:00:00+00:00,1.0
2014-02-17 18:00:00+00:00,2014-02-17 19:00:00+00:00,1.0
2014-02-17 22:00:00+00:00,2014-02-17 23:00:00+00:00,1.0
2014-02-21 03:00:00+00:00,2014-02-21 04:00:00+00:00,1.0
2014-02-21 07:00:00+00:00,2014-02-21 08:00:00+00:00,1.0
2014-02-21 10:00:00+00:00,2014-02-21 11:00:00+00:00,1.0
2014-02-23 06:00:00+00:00,2014-02-23 07:00:00+00:00,1.0
2014-02-23 22:00:00+00:00,2014-02-23 23:00:00+00:00,1.0
2014-02-25 00:00:00+00:00,2014-02-25 01:00:00+00:00,1.0
2014-02-26 17:00:00+00:00,2014-02-26 18:00:00+00:00,1.0
2014-02-27 05:00:00+00:00,2014-02-27 06:00:00+00:00,1.0
2014-02-27 07:00:00+00:00,2014-02-27 08:00:00+00:00,1.0
2014-02-28 05:00:00+00:00,2014-02-28 06:00:00+00:00,1.0
2014-03-01 21:00:00+00:00,2014-03-01 22:00:00+00:00,1.0
2014-03-02 07:00:00+00:00,2014-03-02 08:00:00+00:00,1.0
2014-03-02 13:00:00+00:00,2014-03-02 14:00:00+00:00,1.0
2014-03-03 03:00:00+00:00,2014-03-03 04:00:00+00:00,1.0
2014-03-06 01:00:00+00:00,2014-03-06 02:00:00+00:00,1.0
2014-03-06 04:00:00+00:00,2014-03-06 05:00:00+00:00,1.0
2014-03-06 17:00:00+00:00,2014-03-06 18:00:00+00:00,1.0
2014-03-07 13:00:00+00:00,2014-03-07 14:00:00+00:00,1.0
2014-03-07 16:00:00+00:00,2014-03-07 17:00:00+00:00,1.0
2014-03-08 05:00:00+00:00,2014-03-08 06:00:00+00:00,1.0
2014-03-08 11:00:00+00:00,2014-03-08 12:00:00+00:00,1.0
2014-03-08 15:00:00+00:00,2014-03-08 16:00:00+00:00,1.0
2014-03-09 17:00:00+00:00,2014-03-09 18:00:00+00:00,1.0
2014-03-09 20:00:00+00:00,2014-03-09 22:00:00+00:00,2.0
2014-03-10 02:00:00+00:00,2014-03-10 03:00:00+00:00,1.0
2014-03-10 08:00:00+00:00,2014-03-10 09:00:00+00:00,1.0
2014-03-11 09:00:00+00:00,2014-03-11 10:00:00+00:00,1.0
2014-03-11 23:00:00+00:00,2014-03-12 00:00:00+00:00,1.0
2014-03-12 08:00:00+00:00,2014-03-12 09:00:00+00:00,1.0
2014-03-13 07:00:00+00:00,2014-03-13 08:00:00+00:00,1.0
2014-03-13 09:00:00+00:00,2014-03-13 10:00:00+00:00,1.0
2014-03-13 12:00:00+00:00,2014-03-13 13:00:00+00:00,1.0
2014-03-13 15:00:00+00:00,2014-03-13 16:00:00+00:00,1.0
2014-03-14 17:00:00+00:00,2014-03-14 18:00:00+00:00,1.0
2014-03-15 04:00:00+00:00,2014-03-15 05:00:00+00:00,1.0
2014-03-15 23:00:00+00:00,2014-03-16 00:00:00+00:00,1.0
2014-03-17 12:00:00+00:00,2014-03-17 13:00:00+00:00,1.0
2014-03-17 16:00:00+00:00,2014-03-17 17:00:00+00:00,1.0
2014-03-20 22:00:00+00:00,2014-03-20 23:00:00+00:00,1.0
2014-03-21 02:00:00+00:00,2014-03-21 03:00:00+00:00,1.0
2014-03-21 12:00:00+00:00,2014-03-21 13:00:00+00:00,1.0
2014-03-22 15:00:00+00:00,2014-03-22 16:00:00+00:00,1.0
2014-03-23 05:00:00+00:00,2014-03-23 06:00:00+00:00,1.0
2014-03-23 11:00:00+00:00,2014-03-23 12:00:00+00:00,1.0
2014-03-23 20:00:00+00:00,2014-03-23 21:00:00+00:00,1.0
2014-03-24 04:00:00+00:00,2014-03-24 05:00:00+00:00,1.0
2014-03-24 11:00:00+00:00,2014-03-24 12:00:00+00:00,1.0
2014-03-24 21:00:00+00:00,2014-03-24 22:00:00+00:00,1.0
2014-03-25 00:00:00+00:00,2014-03-25 01:00:00+00:00,1.0
2014-03-25 04:00:00+00:00,2014-03-25 05:00:00+00:00,1.0
2014-03-25 08:00:00+00:00,2014-03-25 09:00:00+00:00,1.0
2014-03-26 01:00:00+00:00,2014-03-26 02:00:00+00:00,1.0
2014-03-26 03:00:00+00:00,2014-03-26 04:00:00+00:00,1.0
2014-03-27 15:00:00+00:00,2014-03-27 16:00:00+00:00,1.0
2014-03-27 19:00:00+00:00,2014-03-27 20:00:00+00:00,1.0
2014-03-29 13:00:00+00:00,2014-03-29 14:00:00+00:00,1.0
2014-03-30 08:00:00+00:00,2014-03-30 09:00:00+00:00,1.0
2014-03-30 13:00:00+00:00,2014-03-30 14:00:00+00:00,1.0
2014-03-30 16:00:00+00:00,2014-03-30 17:00:00+00:00,1.0
2014-04-01 00:00:00+00:00,2014-04-01 01:00:00+00:00,1.0
2014-04-01 15:00:00+00:00,2014-04-01 16:00:00+00:00,1.0
2014-04-05 07:00:00+00:00,2014-04-05 09:00:00+00:00,2.0
2014-04-05 10:00:00+00:00,2014-04-05 11:00:00+00:00,1.0
2014-04-06 06:00:00+00:00,2014-04-06 07:00:00+00:00,1.0
2014-04-07 15:00:00+00:00,2014-04-07 16:00:00+00:00,1.0
2014-04-08 02:00:00+00:00,2014-04-08 03:00:00+00:00,1.0
2014-04-08 06:00:00+00:00,2014-04-08 07:00:00+00:00,1.0
2014-04-08 09:00:00+00:00,2014-04-08 10:00:00+00:00,1.0
2014-04-08 11:00:00+00:00,2014-04-08 12:00:00+00:00,1.0
2014-04-08 16:00:00+00:00,2014-04-08 17:00:00+00:00,1.0
2014-04-08 22:00:00+00:00,2014-04-08 23:00:00+00:00,1.0
2014-04-09 06:00:00+00:00,2014-04-09 07:00:00+00:00,1.0
2014-04-10 11:00:00+00:00,2014-04-10 12:00:00+00:00,1.0
2014-04-10 21:00:00+00:00,2014-04-10 22:00:00+00:00,1.0
2014-04-11 17:00:00+00:00,2014-04-11 18:00:00+00:00,1.0
2014-04-12 03:00:00+00:00,2014-04-12 04:00:00+00:00,1.0
2014-04-12 06:00:00+00:00,2014-04-12 07:00:00+00:00,1.0
2014-04-13 22:00:00+00:00,2014-04-13 23:00:00+00:00,1.0
2014-04-14 07:00:00+00:00,2014-04-14 08:00:00+00:00,1.0
2014-04-14 12:00:00+00:00,2014-04-14 14:00:00+00:00,2.0
2014-04-14 15:00:00+00:00,2014-04-14 16:00:00+00:00,1.0
2014-04-14 21:00:00+00:00,2014-04-14 22:00:00+00:00,1.0
2014-04-16 10:00:00+00:00,2014-04-16 12:00:00+00:00,2.0
2014-04-17 12:00:00+00:00,2014-04-17 13:00:00+00:00,1.0
2014-04-19 01:00:00+00:00,2014-04-19 02:00:00+00:00,1.0
2014-04-19 04:00:00+00:00,2014-04-19 05:00:00+00:00,1.0
2014-04-19 14:00:00+00:00,2014-04-19 15:00:00+00:00,1.0
2014-04-22 22:00:00+00:00,2014-04-22 23:00:00+00:00,1.0
2014-04-24 04:00:00+00:00,2014-04-24 05:00:00+00:00,1.0
2014-04-24 08:00:00+00:00,2014-04-24 09:00:00+00:00,1.0
2014-04-25 03:00:00+00:00,2014-04-25 04:00:00+00:00,1.0
2014-04-25 11:00:00+00:00,2014-04-25 12:00:00+00:00,1.0
2014-04-25 13:00:00+00:00,2014-04-25 14:00:00+00:00,1.0
2014-04-25 15:00:00+00:00,2014-04-25 16:00:00+00:00,1.0
2014-04-26 09:00:00+00:00,2014-04-26 10:00:00+00:00,1.0
2014-04-27 00:00:00+00:00,2014-04-27 01:00:00+00:00,1.0
2014-04-27 16:00:00+00:00,2014-04-27 17:00:00+00:00,1.0
2014-04-27 18:00:00+00:00,2014-04-27 19:00:00+00:00,1.0
2014-04-29 05:00:00+00:00,2014-04-29 06:00:00+00:00,1.0
2014-04-30 04:00:00+00:00,2014-04-30 05:00:00+00:00,1.0
2014-05-03 02:00:00+00:00,2014-05-03 03:00:00+00:00,1.0
2014-05-03 05:00:00+00:00,2014-05-03 06:00:00+00:00,1.0
2014-05-03 16:00:00+00:00,2014-05-03 17:00:00+00:00,1.0
2014-05-04 01:00:00+00:00,2014-05-04 02:00:00+00:00,1.0
2014-05-04 03:00:00+00:00,2014-05-04 04:00:00+00:00,1.0
2014-05-05 01:00:00+00:00,2014-05-05 02:00:00+00:00,1.0
2014-05-08 13:00:00+00:00,2014-05-08 14:00:00+00:00,1.0
2014-05-10 07:00:00+00:00,2014-05-10 08:00:00+00:00,1.0
2014-05-11 21:00:00+00:00,2014-05-11 22:00:00+00:00,1.0
2014-05-12 02:00:00+00:00,2014-05-12 03:00:00+00:00,1.0
2014-05-12 21:00:00+00:00,2014-05-12 22:00:00+00:00,1.0
2014-05-14 09:00:00+00:00,2014-05-14 10:00:00+00:00,1.0
2014-05-14 14:00:00+00:00,2014-05-14 15:00:00+00:00,1.0
2014-05-15 12:00:00+00:00,2014-05-15 13:00:00+00:00,1.0
2014-05-16 02:00:00+00:00,2014-05-16 03:00:00+00:00,1.0
2014-05-16 12:00:00+00:00,2014-05-16 13:00:00+00:00,1.0
2014-05-17 03:00:00+00:00,2014-05-17 04:00:00+00:00,1.0
2014-05-17 05:00:00+00:00,2014-05-17 06:00:00+00:00,1.0
2014-05-17 09:00:00+00:00,2014-05-17 10:00:00+00:00,1.0
2014-05-17 22:00:00+00:00,2014-05-17 23:00:00+00:00,1.0
2014-05-18 22:00:00+00:00,2014-05-18 23:00:00+00:00,1.0
2014-05-19 11:00:00+00:00,2014-05-19 12:00:00+00:00,1.0
2014-05-21 01:00:00+00:00,2014-05-21 02:00:00+00:00,1.0
2014-05-22 08:00:00+00:00,2014-05-22 09:00:00+00:00,1.0
2014-05-23 13:00:00+00:00,2014-05-23 15:00:00+00:00,2.0
2014-05-23 16:00:00+00:00,2014-05-23 17:00:00+00:00,1.0
2014-05-23 20:00:00+00:00,2014-05-23 22:00:00+00:00,2.0
